factura_nota;n_control;fecha_registro;mes;rif_cliente;fecha_auditoria;fecha_registro;cliente;codigo_producto;producto;estandar;unidad_medida; cajas_devueltas ;display_devueltos;paq_und_devueltas;lote;fecha_vencimiento;chofer;transporte;motivo;Tipo_de_devolucion;responsable;zona;asesor;nota_credito;recibida;comentarios;
30246;2029502;8/1/26;1;J-412610244;8/1/26;8/1/26;CENTRO DE DISTRIBUCION EYH 2019, C.A;TR0816;TRENTO CHOCOLATE 8D X 16U;8; CAJA ;2; -   ; -   ;;;ROLANDO MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - COJEDES I;GILBERT RODRIGUEZ;;SI;FEHA VENCIMIENTO
30246;2029502;8/1/26;1;J-412610244;8/1/26;8/1/26;CENTRO DE DISTRIBUCION EYH 2019, C.A;TR0817;TRENTO BLANCO 8D X 16U;8; CAJA ;2; -   ; -   ;;;ROLANDO MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - COJEDES I;GILBERT RODRIGUEZ;;SI;FEHA VENCIMIENTO
30246;2029502;8/1/26;1;J-412610244;8/1/26;8/1/26;CENTRO DE DISTRIBUCION EYH 2019, C.A;TR0818;TRENTO LIMON 8D X 16U;8; CAJA ;2; -   ; -   ;;;ROLANDO MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - COJEDES I;GILBERT RODRIGUEZ;;SI;FEHA VENCIMIENTO
30246;2029502;8/1/26;1;J-412610244;8/1/26;8/1/26;CENTRO DE DISTRIBUCION EYH 2019, C.A;TR0819;TRENTO DARK 8D X 16U;8; CAJA ;2; -   ; -   ;;;ROLANDO MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - COJEDES I;GILBERT RODRIGUEZ;;SI;FEHA VENCIMIENTO
30246;2029502;8/1/26;1;J-412610244;8/1/26;8/1/26;CENTRO DE DISTRIBUCION EYH 2019, C.A;TR0821;TRENTO CHEESECAKE 8D X 16U;8; CAJA ;2; -   ; -   ;;;ROLANDO MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - COJEDES I;GILBERT RODRIGUEZ;;SI;FEHA VENCIMIENTO
30259;2029506;12/1/26;1;J-408895072;12/1/26;8/1/26;INVERSIONES HERMANOS AROCHA 2016, C.A.;MT1603;TARTALETA ISABELA FRESA 50P X 140G;50; CAJA ;2; -   ; -   ;;18/2/26;ARNALDO SOLORZANO;TRANSPORTE CASS;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. MIRANDA;EN - CAPITAL II;EBER BENGOCHEA;;SI;FEHA VENCIMIENTO
30259;2029506;12/1/26;1;J-408895072;12/1/26;8/1/26;INVERSIONES HERMANOS AROCHA 2016, C.A.;TR0816;TRENTO CHOCOLATE 8D X 16U;8; CAJA ;1; -   ; -   ;;20/1/26;ARNALDO SOLORZANO;TRANSPORTE CASS;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. MIRANDA;EN - CAPITAL II;EBER BENGOCHEA;;SI;FEHA VENCIMIENTO
30259;2029506;12/1/26;1;J-408895072;12/1/26;8/1/26;INVERSIONES HERMANOS AROCHA 2016, C.A.;TR0817;TRENTO BLANCO 8D X 16U;8; CAJA ;1; -   ; -   ;;23/1/26;ARNALDO SOLORZANO;TRANSPORTE CASS;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. MIRANDA;EN - CAPITAL II;EBER BENGOCHEA;;SI;FEHA VENCIMIENTO
30259;2029506;12/1/26;1;J-408895072;12/1/26;8/1/26;INVERSIONES HERMANOS AROCHA 2016, C.A.;TR0819;TRENTO DARK 8D X 16U;8; CAJA ;1; -   ; -   ;;27/1/26;ARNALDO SOLORZANO;TRANSPORTE CASS;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. MIRANDA;EN - CAPITAL II;EBER BENGOCHEA;;SI;FEHA VENCIMIENTO
30259;2029506;12/1/26;1;J-408895072;12/1/26;8/1/26;INVERSIONES HERMANOS AROCHA 2016, C.A.;TR0820;TRENTO PARCHITA 8D X 16U;8; CAJA ;1; -   ; -   ;;20/1/26;ARNALDO SOLORZANO;TRANSPORTE CASS;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. MIRANDA;EN - CAPITAL II;EBER BENGOCHEA;;SI;FEHA VENCIMIENTO
30259;2029506;12/1/26;1;J-408895072;12/1/26;8/1/26;INVERSIONES HERMANOS AROCHA 2016, C.A.;TR0821;TRENTO CHEESECAKE 8D X 16U;8; CAJA ;1; -   ; -   ;;16/1/26;ARNALDO SOLORZANO;TRANSPORTE CASS;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. MIRANDA;EN - CAPITAL II;EBER BENGOCHEA;;SI;FEHA VENCIMIENTO
30203;2029537;7/1/26;1;J-409957780;7/1/26;7/1/26;BUENAVENTURA COMERCIAL, C.A;WL2720;CREMA DE LECHE WYNCO 27U X 200G;27; CAJA ;6; -   ; -   ;L210626;23/6/26;ROLANDO MUÑOZ;CESARIO PARRA;MERCANCIA NO SOLICITADA;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO II;DIONERGI GUERRERO;;SI;MERCANCIA NO SOLICITADA POR EL CLIENTE
30206;2029538;8/1/26;1;J-310904553;8/1/26;8/1/26;COMERCIAL TINITO EL TIGRE, C.A.;PC0351;PAPA CRUNCH ORIGINAL 50U X 35G;50; CAJA ;3; -   ; -   ;LWP0225;5/2/26;EFREN MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. ANZOÁTEGUI;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30206;2029538;8/1/26;1;J-310904553;8/1/26;8/1/26;COMERCIAL TINITO EL TIGRE, C.A.;PC0353;PAPA CRUNCH CREMA Y CEBOLLA 50U X 35G;50; CAJA ;3; -   ; -   ;LWP0225;5/2/26;EFREN MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. ANZOÁTEGUI;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30206;2029538;8/1/26;1;J-310904553;8/1/26;8/1/26;COMERCIAL TINITO EL TIGRE, C.A.;PC0357;PAPA CRUNCH QUESO 50U X 35G;50; CAJA ;3; -   ; -   ;LWP0225;5/2/26;EFREN MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. ANZOÁTEGUI;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
